Country/Other,Cases in the last 7 days,Cases in the preceding 7 days,Weekly Case % Change,Cases in the last 7 days/1M pop,Deaths in the last 7 days,Deaths in the preceding 7 days,Weekly Death % Change,Deaths in the last 7 days/1M pop,Population
Antigua and Barbuda,7,11,-36,70,0,0,0,0,99315
Aruba,47,64,-27,437,0,0,0,0,107541
Bermuda,244,216,13,3943,2,1,100,32,61885
Barbados,738,909,-19,2563,3,5,-40,10,287977
Bahamas,17,25,-32,43,2,0,200,5,399668
Belize,109,158,-31,266,2,1,100,5,409963
Anguilla,21,19,11,1379,0,0,0,0,15232
Canada,36893,38742,-5,963,291,340,-14,8,38307887
Costa Rica,5485,7970,-31,1060,55,74,-26,11,5173643
Cuba,4457,3755,19,394,3,4,-25,0.3,11314795
Curaçao,394,326,21,2384,0,1,-100,0,165240
Cayman Islands,0,60,-100,0,5,0,500,75,67041
Dominica,222,254,-13,3071,0,1,-100,0,72292
Dominican Republic,950,484,96,86,1,3,-67,0.1,11033878
Grenada,246,0,24600,2169,1,0,100,9,113414
Greenland,70,50,40,1229,0,0,0,0,56938
Guatemala,11067,12765,-13,599,87,71,23,5,18481891
Haiti,32,61,-48,3,0,4,-100,0,11640137
Honduras,1571,3030,-48,154,23,49,-53,2,10173838
Jamaica,146,188,-22,49,19,19,0,6,2983265
Saint Kitts and Nevis,4,4,0,74,0,0,0,0,53842
Saint Lucia,45,100,-55,243,0,5,-100,0,185062
Mexico,30530,44892,-32,233,1080,1247,-13,8,131248472
Montserrat,8,2,300,1601,0,0,0,0,4997
Panama,1543,1974,-22,348,21,21,0,5,4430853
El Salvador,4688,0,468800,717,14,9,56,2,6542161
Saint Pierre Miquelon,377,214,76,65611,0,0,0,0,5746
Turks and Caicos,0,7,-100,0,0,0,0,0,39612
Nicaragua,87,98,-11,13,1,1,0,0.1,6759282
Trinidad and Tobago,2170,2745,-21,1542,27,29,-7,19,1407236
USA,185761,245308,-24,556,5420,8060,-33,16,334321197
St. Vincent Grenadines,3,0,300,27,0,0,0,0,111542
British Virgin Islands,0,13,-100,0,0,0,0,0,30575
Guadeloupe,0,1964,-100,0,0,6,-100,0.0,400241
Martinique,9660,10270,-6,25776,5,5,0,13.0,374767
Sint Maarten,36,32,13,824,0,0,0,0.0,43708
Caribbean Netherlands,125,2,6150,4692,0,0,0,0.0,26640
